,city,country,lat,lng,date,max_temp,humidity,cloudiness,windspeed
514,solano,co,0.4940619075900372,-75.483680104524,1552788456,69.12,93.0,68.0,2.57
515,kawalu,id,-11.41130558109168,107.76821873852516,1552788458,77.22,79.0,56.0,2.46
516,jiwani,pk,25.091277218574014,62.01267659285828,1552788459,62.55,94.0,24.0,3.91
517,sampit,id,-2.2292460739377877,113.4911943005762,1552788460,85.19,87.0,24.0,7.27
518,tazmalt,dz,35.89463370757653,4.276730777614404,1552788413,61.0,67.0,0.0,13.87
519,brockville,ca,44.607471572868064,-75.76527411153526,1552788269,30.0,79.0,90.0,6.93
520,kirakira,sb,-11.893895867738351,161.9848773477616,1552788463,84.29,100.0,8.0,13.42
521,batemans bay,au,-36.645616187973204,151.59406336704455,1552788379,73.0,78.0,80.0,7.0
522,zemio,cf,5.717134063751317,24.95958594636815,1552788467,67.68,58.0,8.0,3.47
523,san andres,co,12.494010889159995,-82.21334714158047,1552788469,81.59,97.0,0.0,13.76
524,nicoya,cr,5.8973290267588405,-87.61481316895004,1552788002,82.4,58.0,0.0,26.4
525,altamira,br,-4.349324063081681,-52.43765960086885,1552788312,78.84,82.0,24.0,5.14
526,alice springs,au,-23.025760949602372,135.0786202734937,1552786200,89.6,11.0,24.0,6.93
527,hailar,cn,47.46350818712679,119.95511101738634,1552788473,44.64,31.0,0.0,13.53
528,obuasi,gh,6.283983195871116,-1.5657415374246568,1552788474,70.74,95.0,20.0,2.68
529,tecoanapa,mx,11.069302594776078,-100.63402133812129,1552783200,80.6,83.0,75.0,8.05
530,cowra,au,-33.53351758921033,148.56632825453946,1552788100,66.99,70.0,80.0,1.99
531,ambulu,id,-13.523007963261822,112.68698919719652,1552788478,80.46,100.0,68.0,5.93
532,praia da vitoria,pt,42.01841545839065,-25.521631913101945,1552788078,57.99,93.0,0.0,5.37
